"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 21:53:09 GMT 2023","Tue Aug 01 21:53:09 GMT 2023","394","","test_login_ui","TestLoginPopUp","","","test_email_incorrect_n3_2","Verifying, that when an invalid email format (without '@' symbol) is entered and the form is submitted, an error message appears stating 'Email is incorrect'"
"passed","Tue Aug 01 21:52:44 GMT 2023","Tue Aug 01 21:52:45 GMT 2023","451","","test_api_login","TestAuth","","","test_user_login_wrong_email",""
"passed","Tue Aug 01 21:52:58 GMT 2023","Tue Aug 01 21:52:59 GMT 2023","1327","","test_cars_api_and_ui","TestCarsUI","","","test_auto_delete","create car via APi. delete car via WEB UI and check it removed via API"
"passed","Tue Aug 01 21:52:56 GMT 2023","Tue Aug 01 21:52:58 GMT 2023","1451","","test_cars_api_and_ui","TestCarsUI","","","test_auto_modify","modify Car via UI and then verify it updated via API"
"passed","Tue Aug 01 21:52:37 GMT 2023","Tue Aug 01 21:52:38 GMT 2023","602","","test_api_login","TestRegister","","","test_user_register_empty_fields[password]",""
"passed","Tue Aug 01 21:53:07 GMT 2023","Tue Aug 01 21:53:08 GMT 2023","397","","test_login_ui","TestLoginPopUp","","","test_email_empty_n3_1","Verifying, that when the email field is left empty and the form is submitted, an error message stating 'Email required' should appear"
"passed","Tue Aug 01 21:53:11 GMT 2023","Tue Aug 01 21:53:12 GMT 2023","931","","test_login_ui","TestLoginPopUp","","","test_email_field_visual_representation_n3_4","Verifying that when an error occurs, the email field's border color turns red, and the associated labels also turn red."
"passed","Tue Aug 01 21:52:41 GMT 2023","Tue Aug 01 21:52:41 GMT 2023","357","","test_api_login","TestRegister","","","test_user_register_passwords_do_not_match",""
"passed","Tue Aug 01 21:52:35 GMT 2023","Tue Aug 01 21:52:36 GMT 2023","1441","","test_api_login","TestRegister","","","test_user_register",""
"passed","Tue Aug 01 21:53:00 GMT 2023","Tue Aug 01 21:53:00 GMT 2023","108","","test_login_ui","TestLoginPopUp","","","test_login_form_title_n1_1","Verifying, that comparing the retrieving text value with the expected text 'Log in', to ensures it matches exactly."
"passed","Tue Aug 01 21:53:25 GMT 2023","Tue Aug 01 21:53:26 GMT 2023","1224","","test_login_ui","TestLoginPopUp","","","test_login_p1_1","check for successful login with valid credentials"
"passed","Tue Aug 01 21:52:38 GMT 2023","Tue Aug 01 21:52:38 GMT 2023","362","","test_api_login","TestRegister","","","test_user_register_empty_fields[repeatPassword]",""
"passed","Tue Aug 01 21:53:27 GMT 2023","Tue Aug 01 21:53:28 GMT 2023","1096","","test_login_ui","TestLoginPopUp","","","test_login_mixedcase_sensitivity_p1_2","Verifying, that when entering a valid email and password combination and submitting, the login is successful, and the user is redirected to the appropriate page or dashboard."
"failed","Tue Aug 01 21:52:40 GMT 2023","Tue Aug 01 21:52:40 GMT 2023","370","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttt]","Run: 

< FAILED test_api_login.py:TestRegister::test_user_register_wrong_password[tttttttttt] - AssertionError: assert 'Passwords do not match' == 'Password has... small letter' > 

Note: 

Is expected to be failed coz API has bug in the password field validator"
"passed","Tue Aug 01 21:52:40 GMT 2023","Tue Aug 01 21:52:40 GMT 2023","359","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttttttttttttt]",""
"passed","Tue Aug 01 21:53:14 GMT 2023","Tue Aug 01 21:53:16 GMT 2023","1050","","test_login_ui","TestLoginPopUp","","","test_wrong_password_login_n4_2","Verifying that when an incorrect password is entered for a valid email and the form is submitted, an error message appears stating 'Wrong email or password.'"
"passed","Tue Aug 01 21:53:13 GMT 2023","Tue Aug 01 21:53:14 GMT 2023","469","","test_login_ui","TestLoginPopUp","","","test_password_empty_n4_1","Verifying that when the password field is left empty and the form is submitted, an error message appears stating 'Password required'"
"passed","Tue Aug 01 21:53:10 GMT 2023","Tue Aug 01 21:53:11 GMT 2023","576","","test_login_ui","TestLoginPopUp","","","test_unregistered_email_login_n3_3","Verifying that when an email that isn`t registered with the site is entered and the form is submitted, an error message appears stating 'Wrong email or password'"
"passed","Tue Aug 01 21:52:55 GMT 2023","Tue Aug 01 21:52:56 GMT 2023","1344","","test_cars_api_and_ui","TestCarsUI","","","test_auto_create","Create car via WEB UI and check it values via API"
"passed","Tue Aug 01 21:53:01 GMT 2023","Tue Aug 01 21:53:07 GMT 2023","5743","","test_login_ui","TestLoginPopUp","","","test_login_close_button_n2_1","Verifying, that clicking on the cross button ensures that the login pop up is closed."
"passed","Tue Aug 01 21:52:47 GMT 2023","Tue Aug 01 21:52:47 GMT 2023","92","","test_api_login","TestAuth","","","test_check_user_profile",""
"passed","Tue Aug 01 21:53:18 GMT 2023","Tue Aug 01 21:53:24 GMT 2023","5904","","test_login_ui","TestLoginPopUp","","","test_remember_me_checkbox_n5_1","Verifying that the 'Remember me' check box retains its selection state when the login pop up is closed and reopened."
"passed","Tue Aug 01 21:52:39 GMT 2023","Tue Aug 01 21:52:40 GMT 2023","345","","test_api_login","TestRegister","","","test_user_register_wrong_password[t1T]",""
"passed","Tue Aug 01 21:52:39 GMT 2023","Tue Aug 01 21:52:39 GMT 2023","366","","test_api_login","TestRegister","","","test_user_register_wrong_password[test]",""
"passed","Tue Aug 01 21:52:36 GMT 2023","Tue Aug 01 21:52:37 GMT 2023","373","","test_api_login","TestRegister","","","test_user_register_empty_fields[name]",""
"passed","Tue Aug 01 21:52:37 GMT 2023","Tue Aug 01 21:52:37 GMT 2023","379","","test_api_login","TestRegister","","","test_user_register_empty_fields[lastName]",""
"passed","Tue Aug 01 21:53:16 GMT 2023","Tue Aug 01 21:53:17 GMT 2023","1071","","test_login_ui","TestLoginPopUp","","","test_password_field_visual_representation_n4_3","Verifying that when an error occurs, the password field's border color turns red, and the associated labels also turn red."
"passed","Tue Aug 01 21:52:39 GMT 2023","Tue Aug 01 21:52:39 GMT 2023","347","","test_api_login","TestRegister","","","test_user_register_wrong_lastname",""
"passed","Tue Aug 01 21:52:43 GMT 2023","Tue Aug 01 21:52:44 GMT 2023","691","","test_api_login","TestAuth","","","test_user_login",""
"passed","Tue Aug 01 21:52:37 GMT 2023","Tue Aug 01 21:52:37 GMT 2023","360","","test_api_login","TestRegister","","","test_user_register_empty_fields[email]",""
"passed","Tue Aug 01 21:52:38 GMT 2023","Tue Aug 01 21:52:39 GMT 2023","366","","test_api_login","TestRegister","","","test_user_register_wrong_name",""
"passed","Tue Aug 01 21:52:46 GMT 2023","Tue Aug 01 21:52:46 GMT 2023","938","","test_api_login","TestAuth","","","test_user_login_wrong_password",""
